Method,ID,Question,Ground_Truth,Top1_Result,Correct_Retrieval,Faithfulness,Citation_Acc,Latency_ms
FAISS Only (Retrieval),1,Một cá nhân đã có chứng chỉ nghiệp vụ đấu thầu nhưng đã hết hạn thì có được tiếp tục tham gia hoạt động đấu thầu không?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 10",02_2024_TT-BKHDT_591580,True,N/A,N/A,9890.94
FAISS Only (Retrieval),2,Điều kiện để được dự thi và được cấp chứng chỉ nghiệp vụ đấu thầu có giống nhau không?,"Thông tư 02/2024/TT-BKHĐT – Điều 8, Điều 7",09_2024_TT-BKHDT_610974,True,N/A,N/A,551.82
FAISS Only (Retrieval),3,Trường hợp nào cá nhân không được cấp chứng chỉ nghiệp vụ đấu thầu dù đã tham gia khóa đào tạo?,"Thông tư 02/2024/TT-BKHĐT – Điều 7, Điều 8",22_2023_QH15_518805,True,N/A,N/A,270.71
FAISS Only (Retrieval),4,Cá nhân có hành vi gian lận trong thi cử có được cấp lại chứng chỉ nghiệp vụ đấu thầu không?,Thông tư 02/2024/TT-BKHĐT – Điều 12,02_2024_TT-BKHDT_591580,True,N/A,N/A,278.45
FAISS Only (Retrieval),5,Sau bao lâu kể từ ngày được cấp thì chứng chỉ nghiệp vụ đấu thầu hết giá trị sử dụng?,Thông tư 02/2024/TT-BKHĐT – Điều 10,02_2024_TT-BKHDT_591580,True,N/A,N/A,245.78
FAISS Only (Retrieval),6,Việc đào tạo kiến thức đấu thầu có thể thực hiện qua hình thức học từ xa hay không?,Thông tư 02/2024/TT-BKHĐT – Điều 4,02_2024_TT-BKHDT_591580,True,N/A,N/A,226.15
FAISS Only (Retrieval),7,Một cá nhân muốn tham gia trực tiếp hoạt động đấu thầu thì cần đáp ứng những yêu cầu pháp lý nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 3, Điều 7, Điều 8, Điều 10",214_2025_ND-CP_668157,True,N/A,N/A,237.97
FAISS Only (Retrieval),8,Quy trình từ đào tạo đến khi được cấp chứng chỉ nghiệp vụ đấu thầu gồm những bước chính nào?,"Thông tư 02/2024/TT-BKHĐT – Điều 4, Điều 7, Điều 8",09_2024_TT-BKHDT_610974,True,N/A,N/A,233.95
FAISS Only (Retrieval),9,Cơ quan nào vừa có thẩm quyền tổ chức thi vừa có thẩm quyền cấp chứng chỉ nghiệp vụ đấu thầu?,"Thông tư 02/2024/TT-BKHĐT – Điều 6, Điều 7",02_2024_TT-BKHDT_591580,True,N/A,N/A,269.34
FAISS Only (Retrieval),10,"Trong trường hợp mất chứng chỉ nghiệp vụ đấu thầu, cá nhân cần đáp ứng điều kiện gì để được cấp lại?",Thông tư 02/2024/TT-BKHĐT – Điều 11,09_2024_TT-BKHDT_610974,True,N/A,N/A,251.52
